Name,Category,Info
"contest",noun-general,
"context",noun-general,
"contract",noun-general,
"contribution",noun-general,
"control",noun-general,
"conversation",noun-general,
"convert",noun-general,
"cook",noun-general,
"cookie",noun-general,
"copy",noun-general,
"corner",noun-general,
"cost",noun-general,
"count",noun-general,
"counter",noun-general,
"country",noun-general,
"county",noun-general,
"couple",noun-general,
"courage",noun-general,
"course",noun-general,
"court",noun-general,
"cousin",noun-general,
"cover",noun-general,
"cow",noun-general,
"crack",noun-general,
"craft",noun-general,
"crash",noun-general,
"crazy",noun-general,
"cream",noun-general,
"creative",noun-general,
"credit",noun-general,
"crew",noun-general,
"criticism",noun-general,
"cross",noun-general,
"cry",noun-general,
"culture",noun-general,
"cup",noun-general,
"currency",noun-general,
"current",noun-general,
"curve",noun-general,
"customer",noun-general,
"cut",noun-general,
"cycle",noun-general,
"dad",noun-general,
"damage",noun-general,
"dance",noun-general,
"dare",noun-general,
"dark",noun-general,
"data",noun-general,
"database",noun-general,
"date",noun-general,
"daughter",noun-general,
"day",noun-general,
"dead",noun-general,
"deal",noun-general,
"dealer",noun-general,
"dear",noun-general,
"death",noun-general,
"debate",noun-general,
"debt",noun-general,
"decision",noun-general,
"deep",noun-general,
"definition",noun-general,
"degree",noun-general,
"delay",noun-general,
"delivery",noun-general,
"demand",noun-general,
"department",noun-general,
"departure",noun-general,
"dependent",noun-general,
"deposit",noun-general,
"depression",noun-general,
"depth",noun-general,
"description",noun-general,
"design",noun-general,
"designer",noun-general,
"desire",noun-general,
"desk",noun-general,
"detail",noun-general,
"development",noun-general,
"device",noun-general,
"devil",noun-general,
"diamond",noun-general,
"diet",noun-general,
"difference",noun-general,
"difficulty",noun-general,
"dig",noun-general,
"dimension",noun-general,
"dinner",noun-general,
"direction",noun-general,
"director",noun-general,
"dirt",noun-general,
"disaster",noun-general,
"discipline",noun-general,
"discount",noun-general,
"discussion",noun-general,
"disease",noun-general,
"dish",noun-general,
"disk",noun-general,
"display",noun-general,
"distance",noun-general,
"distribution",noun-general,
"district",noun-general,
"divide",noun-general,
"doctor",noun-general,
"document",noun-general,
"dog",noun-general,
"door",noun-general,
"dot",noun-general,
"double",noun-general,
"doubt",noun-general,
"draft",noun-general,
"drag",noun-general,
"drama",noun-general,
"draw",noun-general,
"drawer",noun-general,
"drawing",noun-general,
"dream",noun-general,
"dress",noun-general,
"drink",noun-general,
"drive",noun-general,
"driver",noun-general,
"drop",noun-general,
"drunk",noun-general,
"due",noun-general,
"dump",noun-general,
"dust",noun-general,
"duty",noun-general,
"ear",noun-general,
"earth",noun-general,
"ease",noun-general,
"east",noun-general,
"eat",noun-general,
"economics",noun-general,
"economy",noun-general,
"edge",noun-general,
"editor",noun-general,
"education",noun-general,
"effect",noun-general,
"effective",noun-general,
"efficiency",noun-general,
"effort",noun-general,
"egg",noun-general,
"election",noun-general,
"elevator",noun-general,
"emergency",noun-general,
"emotion",noun-general,
"emphasis",noun-general,
"employ",noun-general,
"employee",noun-general,
"employer",noun-general,
"employment",noun-general,
"end",noun-general,
"energy",noun-general,
"engine",noun-general,
"engineer",noun-general,
"engineering",noun-general,
"entertainment",noun-general,
"enthusiasm",noun-general,
"entrance",noun-general,
"entry",noun-general,
"environment",noun-general,
"equal",noun-general,
"equipment",noun-general,
"equivalent",noun-general,
"error",noun-general,
"escape",noun-general,
"essay",noun-general,
"establishment",noun-general,
"estate",noun-general,
"estimate",noun-general,
"evening",noun-general,
"event",noun-general,
"evidence",noun-general,
"exam",noun-general,
"examination",noun-general,
"example",noun-general,
"exchange",noun-general,
"excitement",noun-general,
"excuse",noun-general,
"exercise",noun-general,
"exit",noun-general,
"experience",noun-general,
"expert",noun-general,
"explanation",noun-general,
"expression",noun-general,
"extension",noun-general,
"extent",noun-general,
"external",noun-general,
"extreme",noun-general,
"eye",noun-general,
"face",noun-general,
"fact",noun-general,
"factor",noun-general,
"failure",noun-general,
"fall",noun-general,
"familiar",noun-general,
"family",noun-general,
"fan",noun-general,
"farm",noun-general,
"farmer",noun-general,
"fat",noun-general,
"father",noun-general,
"fault",noun-general,
"fear",noun-general,
"feature",noun-general,
"fee",noun-general,
"feed",noun-general,
"feedback",noun-general,
"feel",noun-general,
"feeling",noun-general,
"female",noun-general,
"few",noun-general,
"field",noun-general,
"fight",noun-general,
"figure",noun-general,
"file",noun-general,
"fill",noun-general,
"film",noun-general,
"final",noun-general,
"finance",noun-general,
"finding",noun-general,
"finger",noun-general,
"finish",noun-general,
"fire",noun-general,
"fish",noun-general,
"fishing",noun-general,
"fix",noun-general,
"flight",noun-general,
"floor",noun-general,
"flow",noun-general,
"flower",noun-general,
"fly",noun-general,
"focus",noun-general,
"fold",noun-general,
"following",noun-general,
"food",noun-general,
"foot",noun-general,
"football",noun-general,
"force",noun-general,
"forever",noun-general,
"form",noun-general,
"formal",noun-general,
"fortune",noun-general,
"foundation",noun-general,
"frame",noun-general,
"freedom",noun-general,
"friend",noun-general,
"friendship",noun-general,
"front",noun-general,
"fruit",noun-general,
"fuel",noun-general,
"fun",noun-general,
"function",noun-general,
"funeral",noun-general,
"funny",noun-general,
"future",noun-general,
"gain",noun-general,
"game",noun-general,
"gap",noun-general,
"garage",noun-general,
"garbage",noun-general,
"garden",noun-general,
"gas",noun-general,
"gate",noun-general,
"gather",noun-general,
"gear",noun-general,
"gene",noun-general,
"general",noun-general,
"gift",noun-general,
"girl",noun-general,
"girlfriend",noun-general,
"give",noun-general,
"glad",noun-general,
"glass",noun-general,
"glove",noun-general,
"go",noun-general,
"goal",noun-general,
"god",noun-general,
"gold",noun-general,
"golf",noun-general,
"good",noun-general,
"government",noun-general,
"grab",noun-general,
"grade",noun-general,
"grand",noun-general,
"grandfather",noun-general,
"grandmother",noun-general,
"grass",noun-general,
"great",noun-general,
"green",noun-general,
"grocery",noun-general,
"ground",noun-general,
"group",noun-general,
"growth",noun-general,
"guarantee",noun-general,
"guard",noun-general,
"guess",noun-general,
"guest",noun-general,
"guidance",noun-general,
"guide",noun-general,
"guitar",noun-general,
"guy",noun-general,
"habit",noun-general,
"hair",noun-general,
"half",noun-general,
"hall",noun-general,
"hand",noun-general,
"handle",noun-general,
"hang",noun-general,
"harm",noun-general,
"hat",noun-general,
"hate",noun-general,
"head",noun-general,
"health",noun-general,
"hearing",noun-general,
"heart",noun-general,
"heat",noun-general,
"heavy",noun-general,
"height",noun-general,
"hell",noun-general,
"hello",noun-general,
"help",noun-general,
"hide",noun-general,
"high",noun-general,
"highlight",noun-general,
"highway",noun-general,
"hire",noun-general,
"historian",noun-general,
"history",noun-general,
"hit",noun-general,
"hold",noun-general,
"hole",noun-general,
"holiday",noun-general,
"home",noun-general,
"homework",noun-general,
"honey",noun-general,
"hook",noun-general,
"hope",noun-general,
"horror",noun-general,
"horse",noun-general,
"hospital",noun-general,
"host",noun-general,
"hotel",noun-general,
"hour",noun-general,
"house",noun-general,
"housing",noun-general,
"human",noun-general,
"hunt",noun-general,
"hurry",noun-general,
"hurt",noun-general,
"husband",noun-general,
"ice",noun-general,
"idea",noun-general,
"ideal",noun-general,
"if",noun-general,
"illegal",noun-general,
"image",noun-general,
"imagination",noun-general,
"impact",noun-general,
"implement",noun-general,
"importance",noun-general,
"impress",noun-general,
"impression",noun-general,
"improvement",noun-general,
"incident",noun-general,
"income",noun-general,
"increase",noun-general,
"independence",noun-general,
"independent",noun-general,
"indication",noun-general,
"individual",noun-general,
"industry",noun-general,
"inevitable",noun-general,
"inflation",noun-general,
"influence",noun-general,
"information",noun-general,
"initial",noun-general,
"initiative",noun-general,
"injury",noun-general,
"insect",noun-general,
"inside",noun-general,
"inspection",noun-general,
"inspector",noun-general,
"instance",noun-general,
"instruction",noun-general,
"insurance",noun-general,
"intention",noun-general,
"interaction",noun-general,
"interest",noun-general,
"internal",noun-general,
"international",noun-general,
"internet",noun-general,
"interview",noun-general,
"introduction",noun-general,
"investment",noun-general,
"invite",noun-general,
"iron",noun-general,
"island",noun-general,
"issue",noun-general,
"it",noun-general,
"item",noun-general,
"jacket",noun-general,
"job",noun-general,
"join",noun-general,
"joint",noun-general,
"joke",noun-general,
"judge",noun-general,
"judgment",noun-general,
"juice",noun-general,
"jump",noun-general,
"junior",noun-general,
"jury",noun-general,
"keep",noun-general,
"key",noun-general,
"kick",noun-general,
"kid",noun-general,
"kill",noun-general,
"kind",noun-general,
"king",noun-general,
"kiss",noun-general,
"kitchen",noun-general,
"knee",noun-general,
"knife",noun-general,
"knowledge",noun-general,
"lab",noun-general,
"lack",noun-general,
"ladder",noun-general,
"lady",noun-general,
"lake",noun-general,
"land",noun-general,
"landscape",noun-general,
"language",noun-general,
"laugh",noun-general,
"law",noun-general,
"lawyer",noun-general,
"lay",noun-general,
"layer",noun-general,
"lead",noun-general,
"leader",noun-general,
"leadership",noun-general,
"leading",noun-general,
"league",noun-general,
"leather",noun-general,
"leave",noun-general,
"lecture",noun-general,
"leg",noun-general,
"length",noun-general,
"lesson",noun-general,
"let",noun-general,
"letter",noun-general,
"level",noun-general,
"library",noun-general,
"lie",noun-general,
"life",noun-general,
"lift",noun-general,
"light",noun-general,
"limit",noun-general,
"line",noun-general,
"link",noun-general,
"lip",noun-general,
"list",noun-general,
"listen",noun-general,
"literature",noun-general,
"living",noun-general,
"load",noun-general,
"loan",noun-general,
"local",noun-general,
"location",noun-general,
"lock",noun-general,
"log",noun-general,
"long",noun-general,
"look",noun-general,
"loss",noun-general,
"love",noun-general,
"low",noun-general,
"luck",noun-general,
"lunch",noun-general,
"machine",noun-general,
"magazine",noun-general,
"mail",noun-general,
"main",noun-general,
"maintenance",noun-general,
"major",noun-general,
"make",noun-general,
"male",noun-general,
"mall",noun-general,
"man",noun-general,
"management",noun-general,
"manager",noun-general,
"manner",noun-general,
"manufacturer",noun-general,
"many",noun-general,
"map",noun-general,
"march",noun-general,
"mark",noun-general,
"market",noun-general,
"marketing",noun-general,
"marriage",noun-general,
"master",noun-general,
"match",noun-general,
"mate",noun-general,
"material",noun-general,
"math",noun-general,
"matter",noun-general,
"maximum",noun-general,
"maybe",noun-general,
"meal",noun-general,
"meaning",noun-general,
"measurement",noun-general,
"meat",noun-general,
"media",noun-general,
"medicine",noun-general,
"medium",noun-general,
"meet",noun-general,
"meeting",noun-general,
"member",noun-general,
"membership",noun-general,
"memory",noun-general,
"mention",noun-general,
"menu",noun-general,
"mess",noun-general,
"message",noun-general,
"metal",noun-general,
"method",noun-general,
"middle",noun-general,
"midnight",noun-general,
"might",noun-general,
"milk",noun-general,
"mind",noun-general,
"mine",noun-general,
"minimum",noun-general,
"minor",noun-general,
"minute",noun-general,
"mirror",noun-general,
"miss",noun-general,
"mission",noun-general,
"mistake",noun-general,
"mix",noun-general,
"mixture",noun-general,
"mobile",noun-general,
"mode",noun-general,
"model",noun-general,
"mom",noun-general,
"moment",noun-general,
"money",noun-general,
"monitor",noun-general,
"month",noun-general,
"mood",noun-general,
"morning",noun-general,
"mortgage",noun-general,
"most",noun-general,
"mother",noun-general,
"motor",noun-general,
"mountain",noun-general,
"mouse",noun-general,
"mouth",noun-general,
"move",noun-general,
"movie",noun-general,
"mud",noun-general,
"muscle",noun-general,
"music",noun-general,
"nail",noun-general,
"name",noun-general,
"nasty",noun-general,
"nation",noun-general,
"national",noun-general,
"native",noun-general,
"natural",noun-general,
"nature",noun-general,
"neat",noun-general,
"necessary",noun-general,
"neck",noun-general,
"negative",noun-general,
"negotiation",noun-general,
"nerve",noun-general,
"net",noun-general,
"network",noun-general,
"news",noun-general,
"newspaper",noun-general,
"night",noun-general,
"nobody",noun-general,
"noise",noun-general,
"normal",noun-general,
"north",noun-general,
"nose",noun-general,
"note",noun-general,
"nothing",noun-general,
"notice",noun-general,
"novel",noun-general,
"number",noun-general,
"nurse",noun-general,
"object",noun-general,
"objective",noun-general,
"obligation",noun-general,
"occasion",noun-general,
"offer",noun-general,
"office",noun-general,
"officer",noun-general,
"official",noun-general,
"oil",noun-general,
"one",noun-general,
"opening",noun-general,
"operation",noun-general,
"opinion",noun-general,
"opportunity",noun-general,
"opposite",noun-general,
"option",noun-general,
"orange",noun-general,
"order",noun-general,
"ordinary",noun-general,
"organization",noun-general,
"original",noun-general,
"other",noun-general,
"outcome",noun-general,
"outside",noun-general,
"oven",noun-general,
"owner",noun-general,
"pace",noun-general,
"pack",noun-general,
"package",noun-general,
"page",noun-general,
"pain",noun-general,
"paint",noun-general,
"painting",noun-general,
"pair",noun-general,
"panic",noun-general,
"paper",noun-general,
"parent",noun-general,
"park",noun-general,
"parking",noun-general,
"part",noun-general,
"particular",noun-general,
"partner",noun-general,
"party",noun-general,
"pass",noun-general,
"passage",noun-general,
"passenger",noun-general,
"passion",noun-general,
"past",noun-general,
"path",noun-general,
"patience",noun-general,
"patient",noun-general,
"pattern",noun-general,
"pause",noun-general,
"pay",noun-general,
"payment",noun-general,
"peace",noun-general,
"peak",noun-general,
"pen",noun-general,
"penalty",noun-general,
"pension",noun-general,
"people",noun-general,
"percentage",noun-general,
"perception",noun-general,
"performance",noun-general,
"period",noun-general,
"permission",noun-general,
"permit",noun-general,
"person",noun-general,
"personal",noun-general,
"personality",noun-general,
"perspective",noun-general,
"phase",noun-general,
"philosophy",noun-general,
"phone",noun-general,
"photo",noun-general,
"phrase",noun-general,
"physical",noun-general,
"physics",noun-general,
"piano",noun-general,
"pick",noun-general,
"picture",noun-general,
"pie",noun-general,
"piece",noun-general,
"pin",noun-general,
"pipe",noun-general,
"pitch",noun-general,
"pizza",noun-general,
"place",noun-general,
"plan",noun-general,
"plane",noun-general,
"plant",noun-general,
"plastic",noun-general,
"plate",noun-general,
"platform",noun-general,
"play",noun-general,
"player",noun-general,
"pleasure",noun-general,
"plenty",noun-general,
"poem",noun-general,
"poet",noun-general,
"poetry",noun-general,
"point",noun-general,
"police",noun-general,
"policy",noun-general,
"politics",noun-general,
"pollution",noun-general,
"pool",noun-general,
"pop",noun-general,
"population",noun-general,
"position",noun-general,
"positive",noun-general,
"possession",noun-general,
"possibility",noun-general,
"possible",noun-general,
"post",noun-general,
"pot",noun-general,
"potato",noun-general,
"potential",noun-general,
"pound",noun-general,
"power",noun-general,
"practice",noun-general,
"preference",noun-general,
"preparation",noun-general,
"presence",noun-general,
"present",noun-general,
"presentation",noun-general,
"president",noun-general,
"press",noun-general,
"pressure",noun-general,
"price",noun-general,
"pride",noun-general,
"priest",noun-general,
"primary",noun-general,
"principle",noun-general,
"print",noun-general,
"prior",noun-general,
"priority",noun-general,
"private",noun-general,
"prize",noun-general,
"problem",noun-general,
"procedure",noun-general,
"process",noun-general,
"produce",noun-general,
"product",noun-general,
"profession",noun-general,
"professional",noun-general,
"professor",noun-general,
"profile",noun-general,
"profit",noun-general,
"program",noun-general,
"progress",noun-general,
"project",noun-general,
"promise",noun-general,
"promotion",noun-general,
"prompt",noun-general,
"proof",noun-general,
"property",noun-general,
"proposal",noun-general,
"protection",noun-general,
"psychology",noun-general,
"public",noun-general,
"pull",noun-general,
"punch",noun-general,
"purchase",noun-general,
"purple",noun-general,
"purpose",noun-general,
"push",noun-general,
"put",noun-general,
"quality",noun-general,
"quantity",noun-general,
"quarter",noun-general,
"queen",noun-general,
"question",noun-general,
"quiet",noun-general,
"quit",noun-general,
"quote",noun-general,
"race",noun-general,
"radio",noun-general,
"rain",noun-general,
"raise",noun-general,
"range",noun-general,
"rate",noun-general,
"ratio",noun-general,
"raw",noun-general,
"reach",noun-general,
"reaction",noun-general,
"read",noun-general,
"reading",noun-general,
"reality",noun-general,
"reason",noun-general,
"reception",noun-general,
"recipe",noun-general,
"recognition",noun-general,
"recommendation",noun-general,
"record",noun-general,
"recording",noun-general,
"recover",noun-general,
"red",noun-general,
"reference",noun-general,
"reflection",noun-general,
"refrigerator",noun-general,
"refuse",noun-general,
"region",noun-general,
"register",noun-general,
"regret",noun-general,
"regular",noun-general,
"relation",noun-general,
"relationship",noun-general,
"relative",noun-general,
"release",noun-general,
"relief",noun-general,
"remote",noun-general,
"remove",noun-general,
"rent",noun-general,
"repair",noun-general,
"repeat",noun-general,
"replacement",noun-general,
"reply",noun-general,
"report",noun-general,
"representative",noun-general,
"republic",noun-general,
"reputation",noun-general,
"request",noun-general,
"requirement",noun-general,
"research",noun-general,
"reserve",noun-general,
"resident",noun-general,
"resist",noun-general,
"resolution",noun-general,
"resolve",noun-general,
"resort",noun-general,
"resource",noun-general,
"respect",noun-general,
"respond",noun-general,
"response",noun-general,
"responsibility",noun-general,
"rest",noun-general,
"restaurant",noun-general,
"result",noun-general,
"return",noun-general,
"reveal",noun-general,
"revenue",noun-general,
"review",noun-general,
"revolution",noun-general,
"reward",noun-general,
"rice",noun-general,
"rich",noun-general,
"ride",noun-general,
"ring",noun-general,
"rip",noun-general,
"rise",noun-general,
"risk",noun-general,
"river",noun-general,
"road",noun-general,
"rock",noun-general,
"role",noun-general,
"roll",noun-general,
"roof",noun-general,
"room",noun-general,
"rope",noun-general,
"rough",noun-general,
"round",noun-general,
"routine",noun-general,
"row",noun-general,
"royal",noun-general,
"rub",noun-general,
"ruin",noun-general,
"rule",noun-general,
"run",noun-general,
"rush",noun-general,
"sad",noun-general,
"safe",noun-general,
"safety",noun-general,
"sail",noun-general,
"salad",noun-general,
"salary",noun-general,
"sale",noun-general,
"salt",noun-general,
"sample",noun-general,
"sand",noun-general,
"sandwich",noun-general,
"satisfaction",noun-general,
"save",noun-general,
"savings",noun-general,
"scale",noun-general,
"scene",noun-general,
"schedule",noun-general,
"scheme",noun-general,
"school",noun-general,
"science",noun-general,
"score",noun-general,
"scratch",noun-general,
"screen",noun-general,
"screw",noun-general,
"script",noun-general,
"sea",noun-general,
"search",noun-general,
"season",noun-general,
"seat",noun-general,
"second",noun-general,
"secret",noun-general,
"secretary",noun-general,
"section",noun-general,
"sector",noun-general,
"security",noun-general,
"selection",noun-general,
"self",noun-general,
"sell",noun-general,
"senior",noun-general,
"sense",noun-general,
"sensitive",noun-general,
"sentence",noun-general,
"series",noun-general,
"serve",noun-general,
"service",noun-general,
"session",noun-general,
"set",noun-general,
"setting",noun-general,
"sex",noun-general,
"shake",noun-general,
"shame",noun-general,
"shape",noun-general,
"share",noun-general,
"she",noun-general,
"shelter",noun-general,
"shift",noun-general,
"shine",noun-general,
"ship",noun-general,
"shirt",noun-general,
"shock",noun-general,
"shoe",noun-general,
"shoot",noun-general,
"shop",noun-general,
"shopping",noun-general,
"shot",noun-general,
"shoulder",noun-general,
"show",noun-general,
"shower",noun-general,
"sick",noun-general,
"side",noun-general,
"sign",noun-general,
"signal",noun-general,
"signature",noun-general,
"significance",noun-general,
"silly",noun-general,
"silver",noun-general,
"simple",noun-general,
"sing",noun-general,
"singer",noun-general,
"single",noun-general,
"sink",noun-general,
"sir",noun-general,
"sister",noun-general,
"site",noun-general,
"situation",noun-general,
"size",noun-general,
"skill",noun-general,
"skin",noun-general,
"skirt",noun-general,
"sky",noun-general,
"sleep",noun-general,
"slice",noun-general,
"slide",noun-general,
"slip",noun-general,
"smile",noun-general,
"smoke",noun-general,
"snow",noun-general,
"society",noun-general,
"sock",noun-general,
"soft",noun-general,
"software",noun-general,
"soil",noun-general,
"solid",noun-general,
"solution",noun-general,
"somewhere",noun-general,
"son",noun-general,
"song",noun-general,
"sort",noun-general,
"sound",noun-general,
"soup",noun-general,
"source",noun-general,
"south",noun-general,
"space",noun-general,
"spare",noun-general,
"speaker",noun-general,
"special",noun-general,
"specialist",noun-general,
"specific",noun-general,
"speech",noun-general,
"speed",noun-general,
"spell",noun-general,
"spend",noun-general,
"spirit",noun-general,
"spiritual",noun-general,
"spite",noun-general,
"split",noun-general,
"sport",noun-general,
"spot",noun-general,
"spray",noun-general,
"spread",noun-general,
"spring",noun-general,
"square",noun-general,
"stable",noun-general,
"staff",noun-general,
"stage",noun-general,
"stand",noun-general,
"standard",noun-general,
"star",noun-general,
"start",noun-general,
"state",noun-general,
"statement",noun-general,
"station",noun-general,
"status",noun-general,
"stay",noun-general,
"steak",noun-general,
"steal",noun-general,
"step",noun-general,
"stick",noun-general,
"still",noun-general,
"stock",noun-general,
"stomach",noun-general,
"stop",noun-general,
"storage",noun-general,
"store",noun-general,
"storm",noun-general,
"story",noun-general,
"strain",noun-general,
"stranger",noun-general,
"strategy",noun-general,
"street",noun-general,
"strength",noun-general,
"stress",noun-general,
"stretch",noun-general,
"strike",noun-general,
"string",noun-general,
"strip",noun-general,
"stroke",noun-general,
"structure",noun-general,
"struggle",noun-general,
"student",noun-general,
"studio",noun-general,
"study",noun-general,
"stuff",noun-general,
"stupid",noun-general,
"style",noun-general,
"subject",noun-general,
"substance",noun-general,
"success",noun-general,
"suck",noun-general,
"sugar",noun-general,
"suggestion",noun-general,
"suit",noun-general,
"summer",noun-general,
"sun",noun-general,
"supermarket",noun-general,
"support",noun-general,
"surgery",noun-general,
"surprise",noun-general,
"surround",noun-general,
"survey",noun-general,
"suspect",noun-general,
"sweet",noun-general,
"swim",noun-general,
"swimming",noun-general,
"swing",noun-general,
"switch",noun-general,
"sympathy",noun-general,
"system",noun-general,
"table",noun-general,
"tackle",noun-general,
"tale",noun-general,
"talk",noun-general,
"tank",noun-general,
"tap",noun-general,
"target",noun-general,
"task",noun-general,
"taste",noun-general,
"tax",noun-general,
"tea",noun-general,
"teach",noun-general,
"teacher",noun-general,
"teaching",noun-general,
"team",noun-general,
"tear",noun-general,
"technology",noun-general,
"telephone",noun-general,
"television",noun-general,
"tell",noun-general,
"temperature",noun-general,
"temporary",noun-general,
"tennis",noun-general,
"tension",noun-general,
"term",noun-general,
"test",noun-general,
"text",noun-general,
"thanks",noun-general,
"theme",noun-general,
"theory",noun-general,
"thing",noun-general,
"thought",noun-general,
"throat",noun-general,
"ticket",noun-general,
"tie",noun-general,
"till",noun-general,
"time",noun-general,
"tip",noun-general,
"title",noun-general,
"today",noun-general,
"toe",noun-general,
"tomorrow",noun-general,
"tone",noun-general,
"tongue",noun-general,
"tonight",noun-general,
"tool",noun-general,
"tooth",noun-general,
"top",noun-general,
"topic",noun-general,
"total",noun-general,
"touch",noun-general,
"tough",noun-general,
"tour",noun-general,
"tourist",noun-general,
"towel",noun-general,
"tower",noun-general,
"town",noun-general,
"track",noun-general,
"trade",noun-general,
"tradition",noun-general,
"traffic",noun-general,
"train",noun-general,
"trainer",noun-general,
"training",noun-general,
"transition",noun-general,
"transportation",noun-general,
"trash",noun-general,
"travel",noun-general,
"treat",noun-general,
"tree",noun-general,
"trick",noun-general,
"trip",noun-general,
"trouble",noun-general,
"truck",noun-general,
"trust",noun-general,
"truth",noun-general,
"try",noun-general,
"tune",noun-general,
"turn",noun-general,
"twist",noun-general,
"two",noun-general,
"type",noun-general,
"uncle",noun-general,
"understanding",noun-general,
"union",noun-general,
"unique",noun-general,
"unit",noun-general,
"university",noun-general,
"upper",noun-general,
"upstairs",noun-general,
"use",noun-general,
"user",noun-general,
"usual",noun-general,
"vacation",noun-general,
"valuable",noun-general,
"value",noun-general,
"variation",noun-general,
"variety",noun-general,
"vast",noun-general,
"vegetable",noun-general,
"vehicle",noun-general,
"version",noun-general,
"video",noun-general,
"view",noun-general,
"village",noun-general,
"virus",noun-general,
"visit",noun-general,
"visual",noun-general,
"voice",noun-general,
"volume",noun-general,
"wait",noun-general,
"wake",noun-general,
"walk",noun-general,
"wall",noun-general,
"war",noun-general,
"warning",noun-general,
"wash",noun-general,
"watch",noun-general,
"water",noun-general,
"wave",noun-general,
"way",noun-general,
"weakness",noun-general,
"wealth",noun-general,
"wear",noun-general,
"weather",noun-general,
"web",noun-general,
"wedding",noun-general,
"week",noun-general,
"weekend",noun-general,
"weight",noun-general,
"weird",noun-general,
"welcome",noun-general,
"west",noun-general,
"western",noun-general,
"wheel",noun-general,
"whereas",noun-general,
"while",noun-general,
"white",noun-general,
"whole",noun-general,
"wife",noun-general,
"will",noun-general,
"win",noun-general,
"wind",noun-general,
"window",noun-general,
"wine",noun-general,
"wing",noun-general,
"winner",noun-general,
"winter",noun-general,
"wish",noun-general,
"witness",noun-general,
"woman",noun-general,
"wonder",noun-general,
"wood",noun-general,
"word",noun-general,
"work",noun-general,
"worker",noun-general,
"working",noun-general,
"world",noun-general,
"worry",noun-general,
"worth",noun-general,
"wrap",noun-general,
"writer",noun-general,
"writing",noun-general,
"yard",noun-general,
"year",noun-general,
"yellow",noun-general,
"yesterday",noun-general,
"you",noun-general,
"young",noun-general,
"youth",noun-general,
"zone",noun-general,
"old woman",identity,
"old man",identity,
"older woman",identity,
"older man",identity,
"middle-aged woman",identity,
"middle-aged man",identity,
"woman",identity,
"man",identity,
"young woman",identity,
"young man",identity,
"teenage girl",identity,
"teenage boy",identity,
"girl",identity,
"boy",identity,
"young girl",identity,
"young boy",identity,
"baby",identity,
"old woman",identity-adult,
"old man",identity-adult,
"older woman",identity-adult,
"older man",identity-adult,
"middle-aged woman",identity-adult,
"middle-aged man",identity-adult,
"woman",identity-adult,
"man",identity-adult,
"young woman",identity-adult,
"young man",identity-adult,
"teenage girl",identity-young,
"teenage boy",identity-young,
"girl",identity-young,
"boy",identity-young,
"young girl",identity-young,
"young boy",identity-young,
"baby",identity-young,
"atompunk",punk,
"biopunk",punk,
"clockpunk",punk,
"cyberpunk",punk,
"dieselpunk",punk,
"fantasy punk",punk,
"frostpunk",punk,
"gothpunk",punk,
"magicpunk",punk,
"mythpunk",punk,
"nanopunk",punk,
"post-apocalypticpunk",punk,
"slipstream",punk,
"solarpunk",punk,
"space punk",punk,
"splatterpunk",punk,
"steampunk",punk,
"steelpunk",punk,
"stonepunk",punk,
"weirdpunk",punk,
"bold",hair,
"short black hair",hair,
"short blond hair",hair,
"short auburn hair",hair,
"short brown hair",hair,
"short gray hair",hair,
"long black hair",hair,
"long blond hair",hair,
"long auburn hair",hair,
"long brown hair",hair,
"long gray hair",hair,
"long wavy black hair",hair,
"long wavy blond hair",hair,
"long wavy auburn hair",hair,
"long wavy brown hair",hair,
"long wavy gray hair",hair,
"black undercut",hair,
"blond undercut",hair,
"auburn undercut",hair,
"brown undercut",hair,
"gray undercut",hair,
"long curly black hair",hair,
"long curly blond hair",hair,
"long curly auburn hair",hair,
"long curly brown hair",hair,
"long curly gray hair",hair,
"black buzzcut",hair,
"blond buzzcut",hair,
"auburn buzzcut",hair,
"brown buzzcut",hair,
"gray buzzcut",hair,
"black dreadlocks",hair,
"blond dreadlocks",hair,
"auburn dreadlocks",hair,
"brown dreadlocks",hair,
"gray dreadlocks",hair,
"black braids",hair,
"blond braids",hair,
"auburn braids",hair,
"brown braids",hair,
"gray braids",hair,
"fat",bodyshape,
"fit",bodyshape,
"elegant",bodyshape,
"slender",bodyshape,
"burly",bodyshape,
"bulky",bodyshape,
"thin",bodyshape,
"chubby",bodyshape,
"lanky",bodyshape,
"skinny",bodyshape,
"buff",bodyshape,
"ripped",bodyshape,
"rough",bodyshape,
"pale",skin-color,
"light",skin-color,
"fair",skin-color,
"dark",skin-color,
"brown",skin-color,
"black",skin-color,
"tan",skin-color,
"golden",skin-color,
"olive",skin-color,
"white",skin-color,
"alabaster",skin-color,
"ivory",skin-color,
"cream",skin-color,
"beige",skin-color,
"taupe",skin-color,
"espresso",skin-color,
"chocolate",skin-color,
"mahogany",skin-color,
"caramel",skin-color,
"bronze",skin-color,
"copper",skin-color,
"peach",skin-color,
"pink",skin-color,
"salmon",skin-color,
"ruby",skin-color,
"wine",skin-color,
"hazel",eyecolor,
"green",eyecolor,
"brown",eyecolor,
"black",eyecolor,
"grey",eyecolor,
"purple",eyecolor,
"pink",eyecolor,
"red",eyecolor,
"silver",eyecolor,
"yellow",eyecolor,
"Sapphire",eyecolor,
"turquoise",eyecolor,
"amethyst",eyecolor,
"aquamarine",eyecolor,
"ruby",eyecolor,
"coral",eyecolor,
